show_id,punctuation,type,title,director,cast,country,release_year,rating,duration_int,duration_type,listed_in
ns5280,3.5,movie,fabrizio copano: solo pienso en mi,"rodrigo toro, francisco schultz",fabrizio copano,chile,2017,tv-ma,60,min,stand-up comedy
ns5281,3.6,tv show,fire chasers,,,united states,2017,tv-ma,1,season,"docuseries, science & nature tv"
ns5282,3.6,movie,joaquín reyes: una y no más,josé miguel contreras,joaquín reyes,,2017,tv-ma,78,min,stand-up comedy
ns5283,3.6,movie,carrie pilby,susan johnson,"bel powley, nathan lane, vanessa bayer, gabriel byrne, jason ritter, colin o'donoghue, william moseley, desmin borges",united states,2016,tv-ma,98,min,"comedies, dramas"
ns5284,3.6,movie,marc maron: too real,lynn shelton,marc maron,united states,2017,tv-ma,70,min,stand-up comedy
ns5285,3.5,tv show,no tomorrow,,"joshua sasse, tori anderson, jonathan langdon, sarayu blue, jesse rath, amy pietz",united states,2016,tv-pg,1,season,"romantic tv shows, tv comedies, tv dramas"
ns5286,3.5,tv show,reign,,"adelaide kane, megan follows, torrance coombs, toby regbo, jenessa grant, celina sinden, caitlin stasey, anna popplewell, alan van sprang, rossif sutherland, jonathan keltz, sean teale, craig parker",united states,2017,tv-14,4,season,tv dramas
ns5287,3.5,tv show,frequency,,"peyton list, riley smith, mekhi phifer, devin kelley, lenny jacobson, daniel bonjour, anthony ruivivar",united states,2016,tv-14,1,season,"crime tv shows, tv dramas, tv mysteries"
ns5288,3.6,tv show,the vampire diaries,,"nina dobrev, paul wesley, ian somerhalder, steven r. mcqueen, sara canning, kat graham, candice king, zach roerig, michael trevino, matthew davis, joseph morgan",united states,2016,tv-14,8,season,"tv dramas, tv mysteries, tv sci-fi & fantasy"
ns5289,3.5,tv show,a boy name flora a,,"crowd lu, tsai chen-nan, lotus wang, fan chu-mei, hsieh ying-shiuan, vera yen, cammy chiang",taiwan,2017,tv-ma,1,season,"international tv shows, tv comedies, tv dramas"
ns529,3.6,movie,rehmataan,"rajveer singh maan, harpeet singh","guggu gill, sukhjinder shera, surinder shinda, deep dhillon, jasmine jassi, gurvinder brar, razia sukhvir, raj virk",india,2012,tv-14,116,min,"dramas, international movies, romantic movies"
ns5290,3.6,tv show,a house of blocks,,"eli shi, phoebe lin, chen wan-ting, fan chen-fei, lu hsueh-feng, figaro tseng, winnie chang, elten ting",taiwan,2017,tv-pg,1,season,"international tv shows, tv dramas, tv horror"
ns5291,3.6,movie,aakhri adaalat,rajiv mehra,"vinod khanna, dimple kapadia, jackie shroff, sonam, vinod mehra, shafi inamdar, gulshan grover, roopesh kumar",india,1988,tv-14,148,min,"action & adventure, international movies"
ns5292,3.6,movie,"alias jj, la celebridad del mal",,,,2017,tv-ma,54,min,"documentaries, international movies"
ns5293,3.5,movie,berserk: the golden age arc ii - the battle for doldrey,toshiyuki kubooka,"hiroaki iwanaga, takahiro sakurai, toa yukinari, yuki kaji, minako kotobuki, takahiro fujiwara, yoshiro matsumoto, kazuki yao, aki toyosaki, rikiya koyama, kenta miyake, nobuyuki katsube, houchu ohtsuka, takayuki sugo",japan,2012,tv-ma,92,min,"action & adventure, anime features, international movies"
ns5294,3.6,movie,berserk: the golden age arc iii - the advent,toshiyuki kubooka,"hiroaki iwanaga, takahiro sakurai, toa yukinari, yuki kaji, yoshiro matsumoto, minako kotobuki, takahiro fujiwara, kazuki yao, yuichi nakamura, aki toyosaki, akio otsuka",japan,2013,tv-ma,107,min,"action & adventure, anime features, international movies"
ns5295,3.6,movie,brother's shadow,todd s. yellin,"scott cohen, judd hirsch, susan floyd, elliot korte, ruben santiago-hudson, james murtaugh, ato essandoh, toby poser, diane kagan, john di benedetto, jerry matz, lisa emery",united states,2006,tv-ma,90,min,"dramas, independent movies"
ns5296,3.5,movie,chadi jawani budhe nu,,anand,india,1976,tv-pg,135,min,"comedies, international movies, romantic movies"
ns5297,3.6,movie,ek jaan hain hum,rajiv mehra,"rajiv kapoor, divya rana, shammi kapoor, tanuja, kiran vairale, rakesh bedi, gulshan grover, monty sharma",india,1983,tv-14,151,min,"dramas, international movies, music & musicals"
ns5298,3.5,tv show,final fantasy xiv dad of light,,"yudai chiba, ren osugi, fumika baba, yoshihiko hakamada, hatsunori hasegawa, mako ishino",japan,2017,tv-pg,1,season,"international tv shows, tv dramas"
ns5299,3.5,tv show,gurren lagann,,"tetsuya kakihara, katsuyuki konishi, marina inoue, masaya onosaka, nobuyuki hiyama, shizuka ito, daiki nakamura, kisho taniyama, rina sato, kana ueda, kana asumi, mitsuki saiga, takako honda, yukari fukui, kiyoyuki yanada, michiko neya, akio suyama, kiyoshi kawakubo, narushi ikeda, andrea kwan, brett weaver, bridget hoffman, dave bridges, david lee mckinney, hynden walch, kyle hebert, michelle ruff, yuri lowenthal",japan,2007,tv-14,1,season,"anime series, international tv shows"
ns53,3.5,movie,inuyasha the movie 3: swords of an honorable ruler,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, ken narita, akio otsuka, kikuko inoue",japan,2003,tv-14,99,min,"action & adventure, anime features, international movies"
ns530,3.4,movie,return of the prodigal son,youssef chahine,"majida el roumi, souheir el morshidy, shoukry sarhan, huda sultan, mahmoud el meleigy, ahmad mehrez, hesham selim",egypt,1976,tv-ma,124,min,"dramas, international movies"
ns5300,3.6,tv show,high risk,,,united states,1988,tv-pg,1,season,"docuseries, reality tv"
ns5301,3.6,movie,khoon khoon,mohammed hussain,"danny denzongpa, mahendra sandhu, rekha, faryal, helen, jagdeep",india,1973,tv-14,132,min,"action & adventure, international movies"
ns5302,3.6,tv show,lego elves: secrets of elvendale,,"ashleigh ball, erin mathews, rebecca husain, kyle rideout, riley murdock, vincent tong, nicole oliver, scott mcneil, kathleen barr",united states,2017,tv-y7,1,season,kids' tv
